slug,name,url,oneliner
member1,"home site",https://weirdring.netlify.app/, Home Sweet Home!
member2,"lizard985",https://lizard-i.tumblr.com/, web webs
member3,"qwerzy32",https://qwerzy34.neocities.org/A-Place-Of-Sacrifice,
member4,"DISTANT FUTURE TECH INC",https://distantfuturetechnologiesincorperated.netlify.app/,FLASH WARNING - Open your mind!
member5,"The Phox's Den",https://fennaixelphox.neocities.org/otherpages,What's up gamers?
member6,"kabx",http://kabalabax.ddns.net:12987/personal/,:3
artie,"artie",https://r-temisia.neocities.org/,
killing-machine,"HANK",https://killing-machine.neocities.org,
nork2004,"Nork",https://nork.mepcotoes/org,
Christian,"mortis",https://rigor-mortis.neocities.org/,
jaezu,"jaezu's grotto",https://jaezu.neocities.org,head empty
